"ImageScalars","vtkValidPointMask","vtkGhostType"
18.737,1,0
17.823,1,0
16.964,1,0
17.607,1,0
18.408,1,0
17.412,1,0
16.211,1,0
8.9535,1,0
0.94579,1,0
14.276,1,0
13.579,1,0
12.925,1,0
14.71,1,0
16.75,1,0
14.854,1,0
12.509,1,0
6.8217,1,0
0.7206,1,0
9.8148,1,0
9.3358,1,0
8.8857,1,0
11.813,1,0
15.092,1,0
12.296,1,0
8.8067,1,0
4.6899,1,0
0.49541,1,0
5.3535,1,0
5.0923,1,0
4.8467,1,0
8.9152,1,0
13.434,1,0
9.7376,1,0
5.1046,1,0
2.5581,1,0
0.27023,1,0
0.89225,1,0
0.84871,1,0
0.80779,1,0
6.0178,1,0
11.776,1,0
7.1794,1,0
1.4025,1,0
0.42636,1,0
0.045038,1,0
0,1,0
0,1,0
0,1,0
5.4383,1,0
11.444,1,0
6.6678,1,0
0.66205,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
5.4383,1,0
11.444,1,0
6.6678,1,0
0.66205,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
5.4383,1,0
11.444,1,0
6.6678,1,0
0.66205,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
5.4383,1,0
11.444,1,0
6.6678,1,0
0.66205,1,0
0,1,0
0,1,0
17.741,1,0
12.522,1,0
6.95,1,0
6.6994,1,0
7.0041,1,0
6.6251,1,0
6.168,1,0
3.4067,1,0
0.35986,1,0
13.517,1,0
9.5407,1,0
5.2953,1,0
5.597,1,0
6.3732,1,0
5.6517,1,0
4.7594,1,0
2.5956,1,0
0.27418,1,0
9.293,1,0
6.5593,1,0
3.6405,1,0
4.4946,1,0
5.7423,1,0
4.6784,1,0
3.3508,1,0
1.7845,1,0
0.1885,1,0
5.0689,1,0
3.5778,1,0
1.9857,1,0
3.3921,1,0
5.1114,1,0
3.705,1,0
1.9422,1,0
0.97334,1,0
0.10282,1,0
0.84482,1,0
0.5963,1,0
0.33095,1,0
2.2897,1,0
4.4805,1,0
2.7317,1,0
0.53362,1,0
0.16222,1,0
0.017136,1,0
0,1,0
0,1,0
0,1,0
2.0692,1,0
4.3543,1,0
2.537,1,0
0.2519,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
2.0692,1,0
4.3543,1,0
2.537,1,0
0.2519,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
2.0692,1,0
4.3543,1,0
2.537,1,0
0.2519,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
2.0692,1,0
4.3543,1,0
2.537,1,0
0.2519,1,0
0,1,0
0,1,0
17.497,1,0
9.4762,1,0
0.81809,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
13.331,1,0
7.2199,1,0
0.6233,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
9.1652,1,0
4.9637,1,0
0.42852,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
4.9992,1,0
2.7075,1,0
0.23374,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.8332,1,0
0.45125,1,0
0.038956,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
18.45,1,0
10.019,1,0
0.86496,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
14.057,1,0
7.6336,1,0
0.65902,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
9.6644,1,0
5.2481,1,0
0.45307,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
5.2715,1,0
2.8626,1,0
0.24713,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.87858,1,0
0.4771,1,0
0.041189,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
18.282,1,0
9.9464,1,0
0.85869,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
13.929,1,0
7.5782,1,0
0.65424,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
