"Temp","density","magvort","pressure","rho_OH","vtkGhostType","vtkValidPointMask"
363.96,0.059786,1.0438e+05,6.0713e+07,8.141e-16,0,1
363.9,0.059677,44577,6.0745e+07,-8.9198e-17,0,1
358.15,0.06051,28672,6.0713e+07,-9.8044e-16,0,1
346.3,0.06289,49531,6.0729e+07,5.0105e-16,0,1
448.23,0.050964,2.2918e+05,6.0727e+07,5.2115e-18,0,1
355.8,0.062848,64676,6.0707e+07,2.3298e-16,0,1
339.1,0.065947,36879,6.0733e+07,2.3584e-17,0,1
334.59,0.065483,27752,6.0718e+07,-3.4086e-16,0,1
369.17,0.058924,25494,6.0734e+07,-1.8882e-17,0,1
421.23,0.053507,79419,6.073e+07,4.0283e-18,0,1
353.69,0.063087,59417,6.0725e+07,2.9424e-15,0,1
341.71,0.064843,20081,6.0736e+07,-1.8105e-17,0,1
345.54,0.063393,15951,6.072e+07,-1.1235e-16,0,1
363.25,0.059862,25426,6.073e+07,4.2555e-18,0,1
389.84,0.057413,61850,6.0736e+07,1.3566e-18,0,1
369.91,0.060069,45707,6.0726e+07,4.7934e-18,0,1
365.87,0.06001,15409,6.073e+07,6.3346e-16,0,1
374.71,0.058539,14973,6.0725e+07,1.0627e-17,0,1
379.07,0.058019,32288,6.0726e+07,-8.1156e-19,0,1
384.74,0.05848,66822,6.0729e+07,1.346e-18,0,1
367.15,0.059561,4067,6.0732e+07,7.436e-16,0,1
377.29,0.058038,11779,6.0732e+07,4.1846e-18,0,1
373.88,0.058549,30852,6.0727e+07,2.6705e-18,0,1
385.66,0.057658,46531,6.0729e+07,2.7962e-18,0,1
428.95,0.053113,67281,6.0729e+07,3.1173e-17,0,1
359.58,0.06102,22114,6.074e+07,2.511e-16,0,1
376.36,0.058551,8197.5,6.0736e+07,1.7766e-18,0,1
368.55,0.059425,15900,6.0734e+07,-2.2344e-15,0,1
375.6,0.058652,30811,6.0728e+07,-4.0475e-17,0,1
451.86,0.050822,62643,6.0729e+07,5.9777e-17,0,1
351.78,0.063696,36335,6.0747e+07,1.0595e-18,0,1
370.87,0.060923,14814,6.0745e+07,1.0436e-18,0,1
361.58,0.061315,16512,6.0734e+07,3.8772e-15,0,1
371.96,0.059302,22572,6.0735e+07,4.9937e-17,0,1
446.86,0.05136,61753,6.0736e+07,4.2757e-17,0,1
320.21,0.069244,35321,6.0757e+07,3.1082e-18,0,1
354.78,0.063407,34719,6.0751e+07,3.5425e-19,0,1
377.93,0.059485,30444,6.0743e+07,3.3529e-16,0,1
375.34,0.059228,25964,6.0735e+07,4.5105e-18,0,1
444.96,0.051629,59963,6.0734e+07,3.6333e-17,0,1
358.03,0.061624,62013,6.0766e+07,1.8908e-18,0,1
384.52,0.057535,56655,6.0759e+07,1.277e-17,0,1
454.38,0.049635,77084,6.0752e+07,4.1425e-17,0,1
483.63,0.047689,69938,6.0749e+07,8.5089e-17,0,1
450.77,0.050994,71107,6.0743e+07,3.786e-17,0,1
337.02,0.064218,98960,6.0736e+07,-7.2887e-16,0,1
356.87,0.060679,59655,6.0743e+07,1.869e-17,0,1
356.83,0.060664,58310,6.0727e+07,-4.3624e-16,0,1
352.56,0.061681,54252,6.0728e+07,2.5272e-16,0,1
445.93,0.051165,2.261e+05,6.074e+07,4.691e-18,0,1
375.17,0.059131,70453,6.0741e+07,-1.2159e-16,0,1
328.32,0.06742,32405,6.0737e+07,-5.7573e-17,0,1
328.78,0.066391,31704,6.0733e+07,-2.6494e-15,0,1
365.94,0.059366,12107,6.0736e+07,-4.0149e-17,0,1
436.61,0.052048,86649,6.0739e+07,6.3939e-18,0,1
375.74,0.05907,63305,6.0742e+07,6.2119e-16,0,1
340.22,0.064842,19218,6.0732e+07,5.6051e-17,0,1
342.57,0.063855,12471,6.0737e+07,-2.1521e-15,0,1
349.18,0.062234,19215,6.0739e+07,-3.5077e-16,0,1
395.87,0.05679,55564,6.0743e+07,1.1747e-18,0,1
379.87,0.058201,48804,6.0738e+07,-5.897e-17,0,1
366.85,0.059838,22549,6.0742e+07,2.8608e-16,0,1
366.74,0.059871,14562,6.073e+07,-3.6716e-16,0,1
363.52,0.060644,27921,6.0735e+07,-5.1169e-18,0,1
366.16,0.061421,49436,6.0738e+07,4.8721e-19,0,1
372.98,0.05857,10032,6.0742e+07,2.8112e-17,0,1
377.75,0.05798,14157,6.0738e+07,-3.3163e-17,0,1
374.4,0.05855,27729,6.0735e+07,2.3805e-16,0,1
405.15,0.055838,47064,6.0733e+07,7.1244e-18,0,1
409.57,0.055629,55708,6.0737e+07,1.2718e-17,0,1
364.86,0.059682,15015,6.0741e+07,6.4494e-17,0,1
378.31,0.057996,9724,6.0741e+07,9.8118e-18,0,1
374.04,0.058554,16658,6.0734e+07,-1.8833e-16,0,1
391.42,0.056874,37788,6.0736e+07,-2.7009e-17,0,1
456.79,0.050742,68039,6.074e+07,5.8241e-17,0,1
346.47,0.063461,35969,6.0742e+07,8.7679e-19,0,1
365.11,0.060693,16876,6.0742e+07,7.3459e-19,0,1
366.96,0.059957,15726,6.074e+07,1.2933e-15,0,1
374.6,0.05891,30692,6.0738e+07,3.1807e-17,0,1
457.78,0.050623,68169,6.0737e+07,4.9466e-17,0,1
312.42,0.070574,30830,6.0755e+07,7.2758e-16,0,1
350.32,0.063978,25411,6.0751e+07,4.2534e-18,0,1
370.77,0.060383,23434,6.0741e+07,4.8518e-17,0,1
371.97,0.059646,26566,6.0739e+07,5.0447e-18,0,1
445.16,0.051803,62252,6.0744e+07,3.4753e-17,0,1
358.36,0.061514,77434,6.0758e+07,1.8988e-18,0,1
377.75,0.058559,44132,6.0754e+07,-5.2996e-19,0,1
