"bin_extents","bin_values"
533.43,1
539.71,0
545.99,0
552.26,0
558.54,1
564.82,2
571.1,0
577.37,0
583.65,0
589.93,1
596.21,4
602.49,0
608.76,4
615.04,2
621.32,1
627.6,2
633.87,4
640.15,10
646.43,2
652.71,2
658.99,7
665.26,3
671.54,10
677.82,6
684.1,10
690.38,7
696.65,12
702.93,7
709.21,7
715.49,8
721.76,11
728.04,10
734.32,3
740.6,11
746.88,13
753.15,7
759.43,4
765.71,8
771.99,7
778.27,5
784.54,6
790.82,2
797.1,5
803.38,4
809.65,5
815.93,6
822.21,3
828.49,10
834.77,4
841.04,3
847.32,3
853.6,4
859.88,6
866.16,0
872.43,1
878.71,3
884.99,1
891.27,5
897.54,2
903.82,1
910.1,1
916.38,1
922.66,2
928.93,3
