"ImageScalars","vtkValidPointMask","vtkGhostType"
15.543,1,0
0.47459,1,0
9.1742,1,0
18.647,1,0
14.559,1,0
0.44456,1,0
8.3747,1,0
17.022,1,0
13.576,1,0
0.41454,1,0
7.5753,1,0
15.397,1,0
12.593,1,0
0.38451,1,0
6.7759,1,0
13.772,1,0
11.609,1,0
0.35449,1,0
5.9765,1,0
12.147,1,0
11.864,1,0
0.36225,1,0
5.8166,1,0
11.822,1,0
12.427,1,0
0.37946,1,0
5.8166,1,0
11.822,1,0
12.991,1,0
0.39667,1,0
5.8166,1,0
11.822,1,0
13.554,1,0
0.41388,1,0
5.8166,1,0
11.822,1,0
13.561,1,0
0.41408,1,0
5.872,1,0
11.935,1,0
13.197,1,0
0.40295,1,0
5.9643,1,0
12.123,1,0
12.832,1,0
0.39182,1,0
6.0567,1,0
12.31,1,0
12.468,1,0
0.38069,1,0
6.149,1,0
12.498,1,0
12.306,1,0
0.37577,1,0
6.3152,1,0
12.836,1,0
12.45,1,0
0.38016,1,0
6.5922,1,0
13.399,1,0
12.594,1,0
0.38456,1,0
6.8691,1,0
13.962,1,0
12.738,1,0
0.38895,1,0
7.1461,1,0
14.525,1,0
11.961,1,0
0.36521,1,0
7.973,1,0
16.205,1,0
11.587,1,0
0.35379,1,0
6.6016,1,0
13.418,1,0
11.212,1,0
0.34237,1,0
5.2302,1,0
10.631,1,0
10.838,1,0
0.33094,1,0
3.8588,1,0
7.8431,1,0
10.464,1,0
0.31952,1,0
2.4874,1,0
5.0557,1,0
10.743,1,0
0.32802,1,0
2.2131,1,0
4.4983,1,0
11.185,1,0
0.34151,1,0
2.2131,1,0
4.4983,1,0
11.626,1,0
0.355,1,0
2.2131,1,0
4.4983,1,0
12.068,1,0
0.36849,1,0
2.2131,1,0
4.4983,1,0
11.843,1,0
0.36163,1,0
2.2342,1,0
4.5411,1,0
11.174,1,0
0.3412,1,0
2.2694,1,0
4.6125,1,0
10.505,1,0
0.32076,1,0
2.3045,1,0
4.6839,1,0
9.8359,1,0
0.30033,1,0
2.3396,1,0
4.7553,1,0
9.6382,1,0
0.2943,1,0
2.4028,1,0
4.8838,1,0
10.148,1,0
0.30985,1,0
2.5082,1,0
5.098,1,0
10.657,1,0
0.3254,1,0
2.6136,1,0
5.3122,1,0
11.166,1,0
0.34096,1,0
2.719,1,0
5.5264,1,0
10.057,1,0
0.30708,1,0
5.845,1,0
11.88,1,0
10.033,1,0
0.30636,1,0
4.4533,1,0
9.0515,1,0
10.01,1,0
0.30565,1,0
