"bin_extents","bin_values"
0.30469,478
0.91406,0
1.5234,0
2.1328,0
2.7422,0
3.3516,0
3.9609,0
4.5703,0
5.1797,0
5.7891,0
6.3984,0
7.0078,0
7.6172,0
8.2266,0
8.8359,0
9.4453,0
10.055,0
10.664,0
11.273,0
11.883,0
12.492,0
13.102,0
13.711,15
14.32,0
14.93,11
15.539,0
16.148,15
16.758,22
17.367,0
17.977,16
18.586,0
19.195,18
19.805,23
20.414,0
21.023,23
21.633,0
22.242,16
22.852,27
23.461,0
24.07,33
24.68,0
25.289,54
25.898,75
26.508,0
27.117,114
27.727,134
28.336,0
28.945,145
29.555,0
30.164,194
30.773,182
31.383,0
31.992,150
32.602,0
33.211,105
33.82,81
34.43,0
35.039,50
35.648,0
36.258,23
36.867,8
37.477,0
38.086,3
38.695,1
