"bin_extents","bin_values"
20.156,2
20.469,0
20.781,0
21.094,4
21.406,0
21.719,0
22.031,22
22.344,0
22.656,0
22.969,34
23.281,0
23.594,0
23.906,91
24.219,0
24.531,0
24.844,0
25.156,110
25.469,0
25.781,0
26.094,168
26.406,0
26.719,0
27.031,247
27.344,0
27.656,0
27.969,388
28.281,0
28.594,0
28.906,485
29.219,0
29.531,0
29.844,0
30.156,581
30.469,0
30.781,0
31.094,617
31.406,0
31.719,0
32.031,566
32.344,0
32.656,0
32.969,470
33.281,0
33.594,0
33.906,306
34.219,0
34.531,0
34.844,0
35.156,201
35.469,0
35.781,0
36.094,100
36.406,0
36.719,0
37.031,51
37.344,0
37.656,0
37.969,18
38.281,0
38.594,0
38.906,2
39.219,0
39.531,0
39.844,1
