"bin_extents","bin_values"
0.3125,3540
0.9375,0
1.5625,0
2.1875,0
2.8125,0
3.4375,0
4.0625,0
4.6875,0
5.3125,0
5.9375,0
6.5625,0
7.1875,0
7.8125,0
8.4375,0
9.0625,0
9.6875,0
10.312,0
10.938,0
11.562,0
12.188,0
12.812,0
13.438,0
14.062,0
14.688,0
15.312,99
15.938,100
16.562,0
17.188,112
17.812,116
18.438,0
19.062,123
19.688,0
20.312,113
20.938,136
21.562,0
22.188,133
22.812,128
23.438,0
24.062,152
24.688,0
25.312,167
25.938,194
26.562,0
27.188,254
27.812,269
28.438,0
29.062,276
29.688,0
30.312,272
30.938,227
31.562,0
32.188,149
32.812,130
33.438,0
34.062,81
34.688,0
35.312,44
35.938,25
36.562,0
37.188,8
37.812,9
38.438,0
39.062,4
39.688,3
