"ImageScalars"
0
1
2
0
1
0
2
1
1
1
4
1
0
2
0
1
0
3
1
2
0
1
2
0
2
1
1
0
0
1
0
0
0
0
0
2
0
1
1
0
0
2
3
2
0
2
1
1
1
0
1
2
0
0
1
1
0
0
1
1
0
0
1
1
2
1
0
1
3
3
0
0
1
3
0
1
0
0
1
2
0
0
2
1
1
0
2
1
1
1
1
0
0
0
1
1
1
2
2
0
0
0
1
1
1
3
0
3
3
1
0
2
1
2
0
1
2
2
1
3
2
0
1
1
0
0
0
1
2
6
5
6
2
0
3
1
2
2
4
6
9
15
9
3
5
7
6
11
8
11
14
14
16
16
8
13
10
16
13
18
15
16
15
14
12
14
14
12
16
15
19
20
18
17
20
19
2
1
3
2
2
2
1
3
1
2
3
1
0
1
0
0
0
2
0
1
0
1
0
0
1
1
2
0
0
1
0
1
0
0
0
2
1
2
1
1
3
1
0
1
0
0
0
0
2
1
0
1
0
1
0
1
0
1
1
2
1
1
0
1
0
1
1
0
3
0
0
1
1
0
1
1
1
0
1
0
0
1
1
2
1
0
1
1
2
1
0
2
1
1
1
0
2
1
0
1
0
4
0
0
1
1
2
1
1
2
0
0
1
0
1
0
1
1
2
2
2
0
2
0
0
1
3
3
1
4
3
5
1
2
1
1
1
4
5
11
9
11
10
3
4
4
9
8
10
10
8
17
15
14
14
9
10
9
11
15
15
14
13
9
18
18
16
19
16
17
16
18
22
19
21
18
3
1
1
0
1
1
1
1
1
4
2
0
0
0
1
1
0
0
1
2
0
0
0
0
1
0
0
0
0
1
2
1
1
0
0
0
1
1
0
1
3
0
2
0
1
0
0
1
0
0
2
0
3
0
1
0
0
1
1
0
1
0
1
1
0
0
1
1
2
0
0
1
1
0
1
1
0
0
0
2
1
0
1
2
2
2
1
2
0
0
0
0
0
1
0
0
1
0
1
0
0
0
1
0
0
0
0
1
0
1
1
1
0
0
1
3
0
3
1
0
1
0
1
2
1
1
0
1
1
1
3
2
0
2
1
0
0
4
4
6
6
10
13
7
4
7
5
9
11
10
12
13
13
15
10
10
9
11
12
18
15
12
13
18
13
14
17
14
16
20
18
14
15
15
18
18
1
1
0
1
1
0
1
2
1
0
2
0
0
1
0
0
1
0
1
0
2
2
1
0
1
1
1
1
1
1
0
0
0
1
1
1
3
0
0
0
0
1
2
2
0
1
0
0
1
0
1
0
0
1
0
0
0
1
1
0
1
1
1
2
1
0
0
1
0
2
0
0
0
1
0
1
1
0
0
0
0
1
2
1
1
1
1
1
0
0
0
0
0
2
0
1
1
1
0
0
0
1
2
0
1
1
1
0
1
0
2
1
1
1
1
1
1
0
2
0
2
0
0
0
1
1
1
1
2
3
1
1
1
1
0
0
3
2
4
6
4
8
9
4
5
3
6
8
8
9
9
11
12
13
10
10
11
11
11
13
13
15
13
14
16
18
14
16
15
17
19
18
16
16
14
15
1
1
1
2
1
0
2
1
0
0
2
1
