"bin_extents","bin_values"
385.94,1
394.54,1
403.14,1
411.75,2
420.35,2
428.95,3
437.55,4
446.15,4
454.75,4
463.35,8
471.95,6
480.55,13
489.15,8
497.75,8
506.35,11
514.95,25
523.55,7
532.15,20
540.75,17
549.35,18
557.95,24
566.55,22
575.15,22
583.75,23
592.35,26
600.96,24
609.56,23
618.16,28
626.76,30
635.36,25
643.96,26
652.56,17
661.16,15
669.76,20
678.36,23
686.96,18
695.56,21
704.16,15
712.76,16
721.36,12
729.96,15
738.56,12
747.16,17
755.76,7
764.36,11
772.96,9
781.56,7
790.17,4
798.77,6
807.37,8
815.97,6
824.57,11
833.17,5
841.77,6
850.37,5
858.97,6
867.57,0
876.17,2
884.77,6
893.37,3
901.97,1
910.57,2
919.17,2
927.77,4
