"bin_extents","bin_values"
0.29688,518
0.89062,0
1.4844,0
2.0781,0
2.6719,0
3.2656,0
3.8594,0
4.4531,0
5.0469,0
5.6406,0
6.2344,0
6.8281,0
7.4219,0
8.0156,0
8.6094,0
9.2031,0
9.7969,0
10.391,0
10.984,0
11.578,0
12.172,0
12.766,0
13.359,0
13.953,0
14.547,0
15.141,12
15.734,16
16.328,0
16.922,14
17.516,0
18.109,16
18.703,0
19.297,20
19.891,16
20.484,0
21.078,16
21.672,0
22.266,19
22.859,21
23.453,0
24.047,25
24.641,0
25.234,36
25.828,56
26.422,0
27.016,88
27.609,0
28.203,104
28.797,116
29.391,0
29.984,144
30.578,0
31.172,102
31.766,91
32.359,0
32.953,68
33.547,0
34.141,37
34.734,17
35.328,0
35.922,8
36.516,0
37.109,5
37.703,3
